,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Cef Ticker,Current price,52 Wk Avg price,52 Wk High price,52 Wk Low price,Current Nav,52 Wk Avg Nav,52 Wk High Nav,52 Wk Low Nav,Current P/D,52 Wk Avg P/D,52 Wk High P/D,52 Wk Low P/D
1,PHYS,$14.09,$14.19,$15.28,$13.23,$14.28,$14.37,$15.26,$13.48,-1.33%,-1.20%,0.56%,-3.27%
2,NEA,$15.09,$15.27,$16.00,$14.22,$15.73,$15.97,$16.29,$15.65,-4.07%,-4.33%,-0.13%,-9.63%
3,CEF,$17.33,$18.30,$20.38,$16.75,$17.99,$18.85,$20.46,$17.40,-3.67%,-2.95%,0.31%,-4.93%
4,DNP,$10.94,$10.53,$11.00,$9.75,$9.86,$9.49,$10.04,$8.46,10.90%,11.04%,22.28%,3.83%
5,NVG,$17.18,$17.34,$18.27,$15.90,$17.30,$17.51,$17.91,$17.10,-0.69%,-0.99%,3.23%,-6.85%
6,BIGZ,$14.14,,$23.05,$13.40,$15.13,,$21.01,$15.13,-6.54%,,,
7,NAD,$15.74,$15.65,$16.45,$14.60,$16.13,$16.35,$16.68,$16.01,-2.42%,-4.29%,-0.12%,-8.90%
8,PSLV,$7.68,$8.87,$11.08,$7.45,$7.93,$8.99,$10.51,$7.71,-3.15%,-1.44%,2.48%,-6.90%
9,EXG,$10.48,$9.96,$10.81,$8.58,$10.35,$10.11,$10.58,$9.18,1.26%,-1.52%,2.80%,-7.58%
10,CSQ,$18.72,$17.95,$19.89,$15.26,$18.50,$17.61,$19.17,$15.58,1.19%,1.87%,6.43%,-3.06%
11,BSTZ,$34.24,$38.75,$43.76,$32.07,$35.68,$41.16,$44.87,$35.68,-4.04%,-5.86%,0.51%,-12.68%
12,BMEZ,$23.61,$27.54,$30.94,$22.60,$24.50,$29.20,$32.95,$24.50,-3.63%,-5.67%,0.44%,-11.15%
13,UTF,$28.35,$27.98,$29.95,$24.81,$27.67,$26.55,$28.28,$23.74,1.55%,5.44%,12.38%,-0.25%
14,GDV,$26.83,$25.52,$27.61,$21.25,$29.68,$28.38,$30.37,$24.70,-9.60%,-10.14%,-7.89%,-14.67%
15,NZF,$16.68,$16.79,$17.59,$15.55,$17.03,$17.13,$17.58,$16.61,-2.06%,-1.96%,1.10%,-6.96%
16,RQI,$17.35,$15.28,$18.45,$11.96,$17.51,$15.71,$18.27,$12.46,-0.91%,-2.83%,0.11%,-6.62%
17,ETY,$14.72,$13.82,$15.06,$11.89,$14.25,$13.75,$14.60,$12.58,3.30%,0.39%,4.08%,-5.32%
18,NAC,$15.11,$15.41,$16.22,$14.36,$15.85,$16.19,$16.53,$15.85,-4.67%,-4.80%,-0.68%,-9.76%
19,BCAT,$19.15,$20.93,$23.87,$18.20,$20.67,$21.37,$21.94,$20.39,-7.35%,-1.71%,10.70%,-10.82%
20,EVT,$29.21,$27.31,$29.86,$22.92,$29.09,$27.59,$29.32,$24.18,0.41%,-1.10%,3.10%,-6.54%
21,ADX,$19.06,$19.37,$22.33,$17.03,$22.07,$22.49,$25.23,$19.83,-13.64%,-13.87%,-11.58%,-14.79%
